ms_since_boot,temp_C,press_Pa
868349,25.19,1122.15
869160,25.19,1122.16
869970,25.19,1122.17
870781,25.19,1122.17
871591,25.19,1122.17
872402,25.19,1122.18
873212,25.19,1122.16
874023,25.25,1122.18
874834,25.19,1122.16
875644,25.25,1122.16
876458,25.19,1122.16
877268,25.25,1122.15
878079,25.19,1122.16
878890,25.19,1122.16
879700,25.19,1122.15
880511,25.19,1122.16
881321,25.19,1122.12
882132,25.19,1122.15
882943,25.19,1122.17
883753,25.19,1122.15
884564,25.19,1122.15
885374,25.25,1122.13
886185,25.25,1122.10
886996,25.25,1122.18
887806,25.19,1122.12
888617,25.19,1122.15
889427,25.25,1122.13
890238,25.19,1122.11
891049,25.19,1122.11
891859,25.19,1122.11
892670,25.19,1122.09
893480,25.19,1122.11
894291,25.25,1122.13
895102,25.19,1122.10
895915,25.19,1122.10
896726,25.19,1122.11
897536,25.19,1122.10
898347,25.19,1122.10
899157,25.25,1122.10
899968,25.19,1122.06
900778,25.19,1122.09
901589,25.19,1122.07
902399,25.19,1122.07
903210,25.19,1122.05
904020,25.25,1122.08
904831,25.19,1122.06
905641,25.19,1122.05
906452,25.25,1122.05
907262,25.25,1122.07
908073,25.25,1122.05
908883,25.19,1122.05
909694,25.25,1122.08
910504,25.25,1122.06
911315,25.25,1122.06
912125,25.19,1122.00
912936,25.19,1122.04
913746,25.25,1122.06
914560,25.19,1122.02
915370,25.19,1122.06
916181,25.19,1122.02
916992,25.25,1122.03
917803,25.25,1122.04
918614,25.25,1122.05
919424,25.25,1122.03
920235,25.25,1122.04
921046,25.25,1122.01
921857,25.19,1122.04
922668,25.25,1121.98
923478,25.19,1122.00
924289,25.19,1122.02
925100,25.19,1122.02
925911,25.19,1122.00
926722,25.25,1122.00
927532,25.25,1122.01
928343,25.19,1122.03
929154,25.25,1121.96
929965,25.19,1122.00
930776,25.19,1121.98
931586,25.25,1121.99
932397,25.25,1121.98
933211,25.25,1121.99
934022,25.19,1122.00
934833,25.25,1121.97
935644,25.19,1121.98
936454,25.19,1121.96
937265,25.25,1121.94
938076,25.25,1121.97
938887,25.19,1121.97
939698,25.25,1121.95
940509,25.25,1121.97
941320,25.25,1121.94
942130,25.25,1121.95
