ms_since_boot,temp_C,press_Pa # long run op 4 sept
4437299,24.31,1186.80
4438110,24.31,1186.71
4438924,24.31,1186.80
4439734,24.31,1186.73
4440545,24.31,1186.75
4441356,24.31,1186.78
4442167,24.31,1186.76
4442978,24.31,1186.76
4443789,24.31,1186.81
4444600,24.31,1186.78
4445411,24.31,1186.78
4446221,24.31,1186.79
4447032,24.31,1186.81
4447843,24.31,1186.80
4448654,24.31,1186.82
4449465,24.31,1186.83
4450276,24.31,1186.80
4451087,24.31,1186.81
4451897,24.31,1186.82
4452708,24.31,1186.82
4453519,24.31,1186.79
4454330,24.31,1186.86
4455141,24.31,1186.83
4455951,24.37,1186.84
4456762,24.31,1186.85
4457576,24.31,1186.81
4458387,24.37,1186.85
4459198,24.37,1186.85
4460008,24.37,1186.85
4460819,24.37,1186.86
